,name,artist
317,ask me for a dance,fljúga
318,neighbors know my name,trey songz
319,wet the bed (feat. ludacris),chris brown
320,jealous,nick jonas
321,drink you away,justin timberlake
322,don't,bryson tiller
323,easy,locals only sound
324,that girl,justin timberlake
325,not love,colin munroe
326,slow motion,trey songz
327,sure thing,miguel
328,got a bag,roz verde
329,enough,danny jai
330,breakdance,shotgun willy
331,planez,jeremih
332,butterfly 2021,ekoh
333,pu$$y warm,ghostluvme
334,motivation,kelly rowland
335,on you,julesxla
336,suffocate - superclean,j. holiday
337,i like,jeremih
338,dive in,trey songz
339,finish line,zac greer
340,promise,ciara
341,what you say?,scamp
342,the body (feat. jeremih),wale
343,say it,tory lanez
344,kissin' on my tattoos,august alsina
345,relate,for king & country
346,climax,usher
347,there goes my baby,usher
348,jump in!,dev the goon
349,i luv this shit,august alsina
350,shut it down,drake
351,back to sleep,chris brown
352,can't be friends,trey songz
353,private show (feat. chris brown),t.i.
354,the worst,jhené aiko
355,one chance!,mc virgins
356,in my dreams,eli.
357,new flame (feat. usher & rick ross),chris brown
358,the way (feat. chance the rapper),kehlani
359,all the time,jeremih
360,falsetto,the-dream
361,endless love,dvrst
362,eastside,lbezzle
363,i don't mind (feat. juicy j),usher
364,the matrimony (feat. usher),wale
365,time,reyn hartley
366,work for it (feat. tyga),poo bear
367,loveeeeeee song,rihanna
368,liquor,chris brown
369,no love,august alsina
370,magic,pretty shy
371,i invented sex (feat. drake),trey songz
372,acquainted,the weeknd
373,drunk texting (feat. jhené aiko),chris brown
374,boo thang,verse simmonds
375,fall for your type (feat. drake),jamie foxx
376,quickie,miguel
377,lotus flower bomb (feat. miguel),wale
378,"hold you down (feat. chris brown, august alsina, future & jeremih)",dj khaled
379,can't help but wait,trey songz
380,pop!,yng martyr
381,know you better (feat. fabolous & pusha t),omarion
382,i bet,ciara
383,the matrimony (feat. usher),wale
384,you changed me (feat. chris brown),jamie foxx
385,bed,j. holiday
386,"love in this club, pt. ii (feat. beyoncé & lil' wayne)",usher
387,do not disturb,teyana taylor
388,trading places,usher
389,until the end of time (with beyoncé),justin timberlake
390,all i want is you (feat. j. cole),miguel
391,show me (feat. jeremih),omarion
392,about you,trey songz
393,childs play (feat. chance the rapper),sza
394,jungle,drake
395,intro,the xx
396,howlin' for you,the black keys
397,redbone,childish gambino
398,devil in a new dress,kanye west
399,wet dreamz,j. cole
400,work song,hozier
401,hunger of the pine,alt-j
402,tessellate,alt-j
403,the worst,jhené aiko
404,the pressure,jhené aiko
405,thinkin bout you,frank ocean
406,super rich kids,frank ocean
407,lost,frank ocean
408,she,"tyler, the creator"
409,beggin for thread,banks
410,retrograde,james blake
411,latch,disclosure
412,drop the game,various artists
413,white noise,disclosure
414,holdin on,flume
415,do i wanna know?,arctic monkeys
416,arabella,arctic monkeys
417,partition,beyoncé
418,drunk in love (feat. jay-z),beyoncé
419,man on the moon,kid cudi
420,warm on a cold night,honne
421,all in the value,honne
422,for you,fyfe
423,slow jamz (feat. kanye west & jamie foxx),twista
424,in vein,rick ross
425,the way (feat. chance the rapper),kehlani
426,my love (feat. drake),majid jordan
427,"iii. telegraph ave. (""oakland"" by lloyd)",childish gambino
428,come and see me (feat. drake),partynextdoor
429,befour,zayn
430,never be like you,flume
431,back 2 u,joey gatto
432,one dance,drake
433,sex with me,rihanna
434,weekend (feat. miguel),mac miller
435,heart skipped a beat,the xx
436,coffee (f***ing) (feat. wale),miguel
437,sure thing,various artists
438,playing for you,joe hertz
439,passionfruit,drake
440,season 2 episode 3,glass animals
441,chanel,frank ocean
442,keep on,kehlani
443,thankful,meltycanon
444,gemini feed,banks
445,fuck with myself,banks
446,pink + white,frank ocean
447,ivy,frank ocean
448,attached,mickey blue
449,where did i go?,jorja smith
450,naked,will heard
451,sound & color,alabama shakes
452,beautiful escape,tom misch
453,movie,tom misch
454,provider,frank ocean
455,biking,frank ocean
456,in my feelings,drake
457,psycho (feat. ty dolla $ign),post malone
458,bloo,zack villere
459,next,zack villere
460,best part (feat. h.e.r.),daniel caesar
461,just be friends,joey gatto
462,recontrol,joey gatto
463,peach,kevin abstract
464,when you watch me,poppy ajudha
465,get you (feat. kali uchis),daniel caesar
466,blessed,daniel caesar
467,don't,bryson tiller
