,name,artist
628,"i don't want to miss a thing - from ""armageddon"" soundtrack",various artists
629,truly madly deeply,savage garden
630,sacrifice,elton john
631,glory of love,peter cetera
632,please forgive me,bryan adams
633,hungry eyes,various artists
634,amazed,lonestar
635,bed of roses,bon jovi
636,i knew i loved you,savage garden
637,i want to know what love is - 1999 remaster,foreigner
638,tonight i celebrate my love,peabo bryson
639,everything,michael bublé
640,when a man loves a woman,michael bolton
641,because of you,kelly clarkson
642,she's the one,robbie williams
643,i swear,all-4-one
644,unchained melody,the righteous brothers
645,"my heart will go on - love theme from ""titanic""",céline dion
646,hero,enrique iglesias
647,nothing's gonna change my love for you,george benson
648,said i loved you...but i lied,michael bolton
649,fallen,lauren wood
650,beautiful,christina aguilera
651,listen to your heart,roxette
652,kiss me,various artists
653,breathe,faith hill
654,a thousand years,christina perri
655,you're beautiful,james blunt
656,always,bon jovi
657,how deep is your love (2007 remastered saturday night fever lp version),bee gees
658,"show me heaven - from ""days of thunder"" soundtrack",various artists
659,hello,lionel richie
660,i'll never love this way again,various artists
661,you are the sunshine of my life,stevie wonder
662,alone,heart
663,you're the inspiration,various artists
664,you are the reason,calum scott
665,un-break my heart,toni braxton
666,with or without you - remastered,u2
667,woman in love,barbra streisand
668,this i promise you,*nsync
669,i just called to say i love you - single version,stevie wonder
670,can't help falling in love,elvis presley
671,all of me,john legend
672,a moment like this,kelly clarkson
673,thinking out loud,ed sheeran
674,shape of my heart,backstreet boys
675,to be with you,mr. big
676,i don't want to live without you - 2008 remaster,foreigner
677,if i let you go - radio edit,westlife
678,(i can't help) falling in love with you,ub40
679,someone like you,adele
680,perfect duet (ed sheeran & beyoncé),ed sheeran
681,bags,clairo
682,we fell in love in october,girl in red
683,apocalypse,cigarettes after sex
684,dialing drunk,ethan gruska
685,sparks,coldplay
686,lonely shade of blue,nick leng
687,heartbeats,josé gonzález
688,my kind of woman,mac demarco
689,9,willow
690,tobacco sunburst,the neighbourhood
691,i must be in love,aaron taos
692,beautiful baby,elizabeth
693,blood bank,bon iver
694,love song,lana del rey
695,bitter sweet symphony,the verve
696,i always wanna die (sometimes),the 1975
697,sweater weather,the neighbourhood
698,yellow,coldplay
699,"archie, marry me",alvvays
700,door,caroline polachek
701,k.,cigarettes after sex
702,norman fucking rockwell,lana del rey
703,dreams - 2004 remaster,fleetwood mac
704,i love you,billie eilish
705,green eyes,coldplay
706,new love cassette,angel olsen
707,cosmic love,florence + the machine
708,"flightless bird, american mouth",iron & wine
709,lover's spit,broken social scene
710,train song,various artists
711,we stayed up all night,tourist
712,the girl,city and colour
713,baby's arms,kurt vile
714,honey,sorcha richardson
715,passenger seat,death cab for cutie
716,lua,bright eyes
717,hesitate,golden vessel
718,the moon song - studio version duet,various artists
719,true love,hovvdy
720,nude,radiohead
721,the past and pending,the shins
722,video games,lana del rey
723,moon river,frank ocean
724,i know places,lykke li
725,are you even real?,james blake
726,1995,the radio dept.
727,anyone else but you,the moldy peaches
728,i ain't ever loved no one - acoustic,donovan woods
729,re: stacks,bon iver
730,ugly,deb never
731,on your porch,the format
732,fade into you,mazzy star
733,your ex-lover is dead,stars
734,youth,daughter
735,transatlanticism,death cab for cutie
736,first day of my life,bright eyes
737,cruel world,active child
738,sweet - single version,cigarettes after sex
739,branscombe,wovoka gentle
740,to be alone with you,sufjan stevens
741,say yes,elliott smith
742,i will follow you into the dark,death cab for cutie
743,four walls,broods
744,say it first,sam smith
745,(no one knows me) like the piano,sampha
746,eyes,rogue wave
747,oh my love - remastered 2010,john lennon
748,sea of love,cat power
749,there is a light that never goes out - 2011 remaster,the smiths
750,our way to fall,yo la tengo
751,swallowed in the sea,coldplay
752,just kids,powers
753,life in the vivid dream,grimes
754,thinkin bout you,frank ocean
755,sweet disposition,the temper trap
756,the lady in red,chris de burgh
757,heaven,bryan adams
758,every breath you take,the police
759,a groovy kind of love,phil collins
760,just the two of us (feat. bill withers),"grover washington, jr."
761,woman - remastered 2010,john lennon
762,lover's moon,glenn frey
763,every time you go away - radio edit,paul young
764,making love out of nothing at all,air supply
765,wind beneath my wings,bette midler
766,"hungry eyes - from ""dirty dancing"" soundtrack",eric carmen
767,love changes (everything),climie fisher
768,bette davis eyes,kim carnes
769,hard to say i'm sorry - 2007 remaster,chicago
770,(i just) died in your arms,cutting crew
771,all out of love,air supply
772,drive - 2017 remaster,the cars
773,crazy for you,madonna
774,with or without you - remastered,u2
775,stuck on you,lionel richie
776,baby can i hold you,tracy chapman
777,lost in your eyes,debbie gibson
778,eternal flame,the bangles
779,i just can't stop loving you (feat. siedah garrett) - 2012 remaster,michael jackson
780,i just called to say i love you,stevie wonder
781,missing you,john waite
782,sacrifice,elton john
783,can't fight this feeling,reo speedwagon
784,nothing's gonna stop us now,starship
785,true - single edit,spandau ballet
786,total eclipse of the heart,bonnie tyler
787,against all odds (take a look at me now) - 2016 remaster,phil collins
788,i want to know what love is - 1999 remaster,foreigner
789,listen to your heart,roxette
790,time after time,cyndi lauper
791,"take my breath away - love theme from ""top gun""",various artists
792,nothing's gonna change my love for you,george benson
793,do you remember? - 2016 remaster,phil collins
794,waiting for a girl like you,foreigner
795,right here waiting,richard marx
796,endless love - endless love/soundtrack version,lionel richie
797,even the nights are better,air supply
798,we've got tonight,kenny rogers
799,i'll be loving you (forever),new kids on the block
800,alone,heart
801,take on me,a-ha
802,you're the inspiration - 2006 remaster,chicago
803,arthur's theme (best that you can do),various artists
804,glory of love,peter cetera
805,i'll be over you,toto
806,if you don't know me by now - 2008 remaster,simply red
807,"up where we belong - from ""an officer and a gentleman""",joe cocker
808,open arms,journey
809,one more night - 2016 remaster,phil collins
810,what's love got to do with it,tina turner
811,mandy,barry manilow
812,everything i own,bread
813,just the way you are,billy joel
814,when i need you,leo sayer
815,just when i needed you most,randy vanwarmer
816,wonderful tonight,eric clapton
817,longer,dan fogelberg
818,if,bread
819,do that to me one more time,captain & tennille
820,you've got a friend,carole king
821,you are so beautiful,joe cocker
822,we're all alone,rita coolidge
823,if you leave me now,chicago
824,how deep is your love,bee gees
825,you've got a friend,james taylor
826,your song,elton john
827,sometimes when we touch,dan hill
