,name,artist
409,burning pile,mother mother
410,the story of us,taylor swift
411,newbury park,lexi jayde
412,should've said no,taylor swift
413,what the hell,avril lavigne
414,good in goodbye,madison beer
415,i've had enough,melina kb
416,picture to burn,taylor swift
417,don't start now,dua lipa
418,deja vu,olivia rodrigo
419,dead,madison beer
420,potential breakup song,aly & aj
421,maniac,conan gray
422,mr. perfectly fine (taylor’s version) (from the vault),taylor swift
423,therefore i am,billie eilish
424,sue me,sabrina carpenter
425,good 4 u,olivia rodrigo
426,don't need a man,liv grace blue
427,misery business,paramore
428,i love you but i love me more,marina
429,i hope,gabby barrett
430,you're such a,hailee steinfeld
431,i hope ur miserable until ur dead,nessa barrett
432,cry for me,camila cabello
433,abcdefu,gayle
434,bad day,justus bennetts
435,boyshit,madison beer
436,we are never ever getting back together (taylor's version),taylor swift
437,i almost do (taylor's version),taylor swift
438,traitor,olivia rodrigo
439,you’re not sorry (taylor’s version),taylor swift
440,when we were young,adele
441,please notice,christian leave
442,better man (taylor's version) (from the vault),taylor swift
443,"i hate u, i love u (feat. olivia o'brien)",garrett nash
444,easy on me,adele
445,falling,harry styles
446,jealous,labrinth
447,"1 step forward, 3 steps back",olivia rodrigo
448,tolerate it,taylor swift
449,all too well (taylor's version),taylor swift
450,this is what a toxic relationship feels like,clinton kane
451,favorite crime,olivia rodrigo
452,half a heart,one direction
453,stuck on you,giveon
454,better off,jeremy zucker
455,i don't miss u,carobae
456,sober,selena gomez
457,enough for you,olivia rodrigo
458,i wrote you a letter,fudasca
459,fun,amanda mcbrayer
460,you found me,the fray
461,come on mess me up,cub sport
462,just one night,carobae
463,i’ll still have me,cyn
464,forever & always (piano version) (taylor’s version),taylor swift
465,i found - acoustic,amber run
466,out of love,peter manos
467,the only,sasha alex sloan
468,never say never,the fray
469,fade,lewis capaldi
470,maybe maybe,lola amour
471,the last time (feat. gary lightbody of snow patrol) (taylor’s version),taylor swift
472,what about today?,lewis watson
473,litost,x ambassadors
474,take care,eden
475,the house we never built,gabrielle aplin
476,1000 times,sara bareilles
477,chasing pavements,adele
478,same side,jessie reyez
479,six feet under,billie eilish
480,lost without you,freya ridings
481,i never told you,colbie caillat
482,if you want love,nf
483,someone you loved,lewis capaldi
484,feeling whitney,post malone
485,be alright,dean lewis
486,let her go,passenger
487,human,christina perri
488,bruises,lewis capaldi
489,skinny love,birdy
490,losin control,russ
491,somebody that i used to know,gotye
492,someone you loved,lewis capaldi
493,big girls don't cry (personal),fergie
494,leave my heart out of this,fifth harmony
495,i'm not the only one,sam smith
496,when i was your man,bruno mars
497,when you're gone,avril lavigne
498,amnesia,5 seconds of summer
499,i don't love you,my chemical romance
500,lie to me,5 seconds of summer
501,if i were a boy,beyoncé
502,how do you sleep?,sam smith
503,naked,james arthur
504,mr. know it all,kelly clarkson
505,best thing i never had,beyoncé
506,half a heart,one direction
507,because of you,kelly clarkson
508,love you goodbye,one direction
509,my happy ending,avril lavigne
510,perfect,simple plan
511,i knew you were trouble.,taylor swift
512,impossible - acoustic,james arthur
513,why won’t you love me,5 seconds of summer
514,torn,natalie imbruglia
515,teeth,5 seconds of summer
516,ghost of you,5 seconds of summer
517,so sick,ne-yo
518,apologize,onerepublic
519,love will remember,selena gomez
520,iris,the goo goo dolls
521,taken,one direction
522,should've said no,taylor swift
523,the climb,various artists
524,since u been gone,kelly clarkson
525,the one that got away - acoustic,katy perry
526,7 things - single version,miley cyrus
527,"if you can't live without me, why aren't you dead yet?",mayday parade
528,i'm with you,avril lavigne
529,u got it bad,usher
530,easier,5 seconds of summer
531,ghost,ella henderson
532,let me love you,mario
533,come back to me,vanessa hudgens
534,here we go again,demi lovato
535,one last time,ariana grande
536,in case,demi lovato
537,love the way you lie,eminem
538,never say never,the fray
539,the heart wants what it wants,selena gomez
540,don't forget,demi lovato
541,a little too not over you,david archuleta
542,blow me (one last kiss),p!nk
543,act like you love me,shawn mendes
544,til i forget about you,big time rush
545,shouldn't come back,demi lovato
546,take a bow,rihanna
547,so yesterday,hilary duff
548,you don't own me (feat. g-eazy),saygrace
549,lose you to love me,selena gomez
550,potential breakup song,aly & aj
551,tonight i’m getting over you,carly rae jepsen
552,we are never ever getting back together,taylor swift
553,"it's alright, it's ok",ashley tisdale
554,idgaf,dua lipa
555,fu (feat. french montana),miley cyrus
556,really don't care,demi lovato
557,i don't need a man,the pussycat dolls
558,love yourself,justin bieber
559,according to you,orianthi
560,picture to burn,taylor swift
561,"thank u, next",ariana grande
562,she's so gone,lemonade mouth
563,give your heart a break,demi lovato
564,love myself,hailee steinfeld
565,beggin' on your knees (feat. victoria justice),victorious cast
566,shout out to my ex,little mix
567,mistake,demi lovato
568,in real life,demi lovato
569,all i ask,adele
570,unfriend you,greyson chance
571,fix a heart,demi lovato
572,more than this,one direction
573,goodbye,miley cyrus
574,stay,miley cyrus
575,i forgot that you existed,taylor swift
576,hurts like hell (feat. offset),madison beer
577,better in time,leona lewis
578,sick of you,selena gomez & the scene
579,don't speak,no doubt
580,my everything,ariana grande
581,used to love you,gwen stefani
582,without me,halsey
583,bad at love,halsey
584,i hate everything about you,three days grace
585,back to you,selena gomez
586,why don't you love me (feat. demi lovato),hot chelle rae
587,break up song,little mix
588,feel me,selena gomez
589,break my heart,dua lipa
590,this is why we can't have nice things,taylor swift
591,"thank u, next",ariana grande
592,you don't own me (feat. g-eazy),saygrace
593,part of me,katy perry
594,truth hurts,lizzo
595,i don't fuck with you,big sean
596,idgaf,dua lipa
597,needed me,rihanna
598,fuck apologies. (feat. wiz khalifa),jojo
599,look at her now,selena gomez
600,potential breakup song,aly & aj
601,don't start now,dua lipa
602,without me,halsey
603,feeling myself,nicki minaj
604,fuck you,ceelo green
605,boys ain't shit,saygrace
606,fu (feat. french montana),miley cyrus
607,don't call me up,mabel
608,before he cheats,carrie underwood
609,good as hell,lizzo
610,sorry not sorry,demi lovato
611,thru your phone,cardi b
612,no scrubs,tlc
613,idfc,blackbear
614,hot girl bummer,blackbear
615,do re mi,blackbear
616,my ex's best friend (with blackbear),machine gun kelly
617,queen of broken hearts,blackbear
618,playboy shit (feat. lil aaron),blackbear
619,heartbroken,blackbear
620,special,ashnikko
621,daddy af,slayyyter
622,daisy,ashnikko
623,stupid (feat. yung baby tate),ashnikko
624,tantrum,ashnikko
625,dictator,rei ami
626,so thick (feat. baby goth),whipped cream
627,danger,jucee froot
628,lonely gun,cyn
629,joke's on you,charlotte lawrence
630,hit me with your best shot,various artists
631,why do you love me,charlotte lawrence
632,feeling good,various artists
633,jekyll & hide,bishop briggs
634,diamonds (with normani),megan thee stallion
635,lola,iggy azalea
636,my type (feat. becky g & melii) - latin remix,saweetie
637,lil bebe - bebecito remix,danileigh
638,fuck it up (feat. kash doll),iggy azalea
639,poledancer (feat. megan thee stallion) - dj taj jersey club mix,wale
640,simon says (feat. juicy j),megan thee stallion
641,throw it back,missy elliott
642,peach (feat. city girls),pardison fontaine
643,fuck em up sis,renni rucci
644,bad bitch anthem,trina
645,bounce,latto
646,press,cardi b
647,deathwish,poutyface
648,vitamins,qveen herby
649,sugar honey iced tea (s.h.i.t.),princess nokia
650,bad memory,various artists
651,sweetheart,rebecca black
652,grilling niggas,cupcakke
653,liar,bigklit
654,my way,queen key
655,elastic,bali baby
656,big mouth,rubi rose
657,tia tamera (feat. rico nasty),doja cat
658,in the party,flo milli
659,ratchet saturn girl,aminé
660,demi,comethazine
661,bussin,tay money
662,blackout,lil kapow
663,rockstar shit,blind.see
664,tuff,jaah slt
665,choosin szn,kingmostwanted
666,different varieties (remix),kingmostwanted
667,hustle & flow,zaehd & ceo
668,i'm single and i'm lit,rontae don't play
669,need a freak,mighty bay
670,lead the race (undefeated),comethazine
671,walked in,ultradiox
672,snake,lil keed
673,outta there,moe
674,sexy,joeville
675,kolors,monte booker
676,clicc clacc,nle choppa
677,dumb bitchitis,yung cxreal
678,skinny legend anthem,ava louise
679,put yo back into it,loui
680,wurk,huncho da rockstar
681,guap (lalala),rico nasty
682,single (feat.omeretta the great),killumantii
683,you aint shit,sonta
684,options,toni romiti
685,3 musketeers,ppcocaine
686,ddlg,ppcocaine
687,hugh hefner,ppcocaine
688,that bitch,ppcocaine
689,flesh,ghostemane
690,squeeze,ghostemane
691,"i hate u, i love u (feat. olivia o'brien)",garrett nash
692,all i want,kodaline
693,because of you,kelly clarkson
694,it's you,ali gatie
695,let her go,passenger
696,love the way you lie,eminem
697,someone you loved,lewis capaldi
698,like i'm gonna lose you (feat. john legend),meghan trainor
699,all of me,john legend
700,lost boy,ruth b.
701,when we were young,adele
702,unsteady,x ambassadors
703,let it go,james bay
704,thinking out loud,ed sheeran
705,tappin out fin,dutchy dobad
706,parachutes,coldplay
707,before he cheats,carrie underwood
708,river of tears,alessia cara
709,hurts like hell,fleurie
710,say something,a great big world
711,fall for you,secondhand serenade
712,risk it all,dutchy dobad
713,i never told you,colbie caillat
714,can't help falling in love,haley reinhart
715,skinny love,birdy
716,never say never,the fray
717,how to save a life,the fray
718,superficial love,ruth b.
719,distant shore,poo bear
720,we don't have to take our clothes off,ella eyre
721,stay,rihanna
722,not about angels,birdy
723,who you are,jessie j
724,break up in a small town,sam hunt
725,say you won't let go,james arthur
726,show me,sena kana
727,good thing,sam smith
728,don't forget about me,cloves
729,breathe me,sia
730,try,colbie caillat
731,someone like you,adele
732,stay with me,sam smith
733,way up tonight,lorenzo doryon
734,apologize,onerepublic
735,when i was your man,bruno mars
736,impossible - acoustic,james arthur
737,impossible - acoustic,james arthur
738,you found me,the fray
739,overwhelmed,tim mcmorris
740,i'm a loser,karin ann
741,photograph,ed sheeran
742,not about angels,jasmine thompson
743,stone cold,demi lovato
744,talking to the moon,bruno mars
745,if i were a boy,beyoncé
746,lego house,ed sheeran
747,i'm that,that girl lay lay
748,almost lover,a fine frenzy
749,uncover,zara larsson
750,young and beautiful,lana del rey
751,better together,jack johnson
752,breathe me,jasmine thompson
753,mad world,jasmine thompson
754,midnight thoughts,baker grace
755,what is love (feat. v. bozeman),empire cast
756,a drop in the ocean,elenyi
757,need you now,lady a
758,yellow,coldplay
759,i know you care,ellie goulding
760,another love,tom odell
761,girls (riddler remix),halston dare
762,take me home,jess glynne
763,amnesia,5 seconds of summer
764,you said you'd grow old with me,michael schulte
765,high hopes,kodaline
766,who are you,fifth harmony
767,when you're gone,avril lavigne
768,high season,tiggi hawke
769,if i die young,the band perry
770,what hurts the most,rascal flatts
771,someone new,hozier
772,50 ways to say goodbye,train
773,heard you crying,michael schulte
774,you'll be okay - acoustic,michael schulte
775,yesterday's tomorrow never came,meelow
776,all my tears have been used up,radio blazers
777,"10,000 miles",sleeping at last
778,love me or leave me,little mix
779,love me now,john legend
780,not over you,gavin degraw
781,jar of hearts,christina perri
782,mr. officer (feat. scarface & trae tha truth),tj boyce
783,i think i'm in love,kat dahlia
784,the a team,ed sheeran
785,so sick,ne-yo
786,let me know - single version,no wyld
787,miss movin' on - acoustic,fifth harmony
788,hallelujah,jason castro
789,lost at sea (illa illa 2),b.i
790,this town,niall horan
791,you & jennifer,bülow
792,josslyn,olivia o'brien
793,boys ain't shit,saygrace
794,selfish,madison beer
795,the break up,machine gun kelly
796,truth hurts,lizzo
797,she don't (feat. ty dolla $ign),ella mai
798,cancelled.,kiana ledé
799,b.s. (feat. h.e.r.),jhené aiko
800,what you did (feat. ella mai) [cam'ron remix],mahalia
801,do better,lil donald
802,better in time,leona lewis
803,bag,ann marie
804,sue me,sabrina carpenter
805,powerful emotions,tessa brooks
806,aftertaste,shawn mendes
807,needed me,rihanna
808,imma dog too,toni romiti
809,medicine,queen naija
810,be careful,cardi b
811,thru your phone,cardi b
812,i do (feat. sza),cardi b
813,beggin' on your knees (feat. victoria justice),victorious cast
814,we are never ever getting back together,taylor swift
815,hurts like hell (feat. offset),madison beer
816,suicidal,ynw melly
817,leave me alone,flipp dinero
818,trust issues,olivia o'brien
819,boyfriend,tyler cassidy
820,single (feat.omeretta the great),killumantii
821,switch up,toni romiti
822,my ex,pnb rock
823,addicted to my ex,m city jr
824,shout out to my ex,little mix
825,should've said no,taylor swift
826,all of me,marmar oso
827,nothing on me (remix) [feat. tink],toni romiti
828,party girl,staysolidrocky
829,partition,beyoncé
830,roses (with juice wrld feat. brendon urie),benny blanco
831,before he cheats,carrie underwood
832,beware,big sean
833,fuck feelings,olivia o'brien
834,i hope,gabby barrett
835,wasting all these tears,cassadee pope
836,she's so gone,lemonade mouth
837,don't call me up,mabel
838,dead,madison beer
839,undrunk,fletcher
840,take a bow,rihanna
